name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_group_cleansed,beds,price,review_scores_rating
Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,t,,,1,$188.00,5.0
Rental unit in Antwerpen · ★4.79 · 1 bedroom · 2 beds · 1 bath,1263933,Kristien,t,"Antwerpen, Vlaams Gewest, Belgium",,2,$167.00,4.79
Rental unit in Antwerp · ★4.81 · 2 bedrooms · 2 beds · 1 bath,1754396,Marleen,t,"Antwerp, Flemish Region, Belgium",,2,$66.00,4.81
Rental unit in Antwerp · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,1835458,Roos,f,,,1,$75.00,4.87
Rental unit in Antwerp · ★4.63 · 1 bedroom · 1 bed · 1.5 shared baths,1820186,Godelieve,t,"Antwerp, Flemish Region, Belgium",,1,$45.00,4.63
Rental unit in Antwerp · 1 bedroom · 2 beds · 1 bath,2562294,Ahome,f,"Antwerp, Flemish Region, Belgium",,2,$282.00,
Loft in Antwerp · ★4.81 · 1 bedroom · 1 bed · 1 bath,2987880,Cédric,t,"Antwerp, Flanders, Belgium",,1,$89.00,4.81
Rental unit in Antwerp · ★4.55 · 2 bedrooms · 3 beds · 1 bath,462975,Els,t,"Antwerp, Flemish Region, Belgium",,3,$156.00,4.55
Home in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,3493319,Glenn,f,,,1,$85.00,4.67
Loft in Antwerp · ★4.43 · 1 bedroom · 1 bath,4050173,Daisy,f,,,,$146.00,4.43
Rental unit in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,1735092,Marc & Elizabeth,f,"Antwerp, Flemish Region, Belgium",,1,$99.00,4.67
Loft in Antwerp · ★4.83 · 1 bedroom · 2 beds · 1 bath,3424990,Tim,f,"Antwerp, Flemish Region, Belgium",,2,$91.00,4.83
Rental unit in Antwerp · ★4.65 · 2 bedrooms · 3 beds · 1.5 baths,4277604,Sarah,t,"Antwerp, Flemish Region, Belgium",,3,$259.00,4.65
Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,t,"Antwerp, Flemish Region, Belgium",,1,$180.00,5.0
Rental unit in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,234077,Karin,t,"Antwerp, Flemish Region, Belgium",,1,$214.00,5.0
Rental unit in Antwerp · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,4715596,Caroline & Klaas,t,,,1,$85.00,4.82
Rental unit in Antwerp · ★4.60 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,f,,,5,$77.00,4.6
Rental unit in Antwerp · ★4.61 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,f,,,5,$77.00,4.61
Rental unit in Antwerp · ★4.52 · 1 bedroom · 2 beds · 1 bath,6068286,Frédéric,f,,,2,$80.00,4.52
Rental unit in Antwerp · ★4.33 · 1 bedroom · 1 bed · 1 bath,6068286,Frédéric,f,,,1,$85.00,4.33
Loft in Antwerp · ★4.69 · 2 bedrooms · 2 beds · 3 baths,4865806,Tommie,f,"Antwerp, Flemish Region, Belgium",,2,$225.00,4.69
Boat in Antwerp · ★4.75 · 10 bedrooms · 20 beds · 2 shared baths,4193029,Jan,f,,,20,$83.00,4.75
Boat in Antwerp · ★4.50 · 11 bedrooms · 16 beds · 2 shared baths,4193029,Jan,f,,,16,$77.00,4.5
Rental unit in Antwerp · ★4.82 · 2 bedrooms · 2 beds · 1 bath,7755956,Sabien,f,,,2,$80.00,4.82
Bed and breakfast in Antwerp · ★4.75 · 4 bedrooms · 6 beds · 4.5 baths,573329,Patricia,f,"Antwerp, Flanders, Belgium",,6,$500.00,4.75
Loft in Antwerp · ★4.96 · 1 bedroom · 1 bed · 1 bath,9478810,Keith,t,"Antwerp, Flanders, Belgium",,1,$119.00,4.96
Loft in Antwerp · ★4.84 · 1 bedroom · 3 beds · 3 baths,9174116,Sascha,t,"Antwerp, Flanders, Belgium",,3,$270.00,4.84
Rental unit in Antwerpen · ★4.41 · 1 bedroom · 1 bed · 1 bath,10515379,Luc,f,,,1,$55.00,4.41
Loft in Antwerp · ★4.52 · 1 bedroom · 1 bed · 1.5 shared baths,3488121,Jan,f,"Antwerp, Flanders, Belgium",,1,$61.00,4.52
Condo in Antwerpen · ★4.51 · 1 bedroom · 2 beds · 1 bath,11633996,Samira,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$75.00,4.51
Loft in Antwerp · 1 bedroom · 1 bed · 1.5 baths,12523959,Tom,f,"Antwerp, Flanders, Belgium",,1,$251.00,
Rental unit in Antwerp · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,234077,Karin,t,"Antwerp, Flanders, Belgium",,2,$214.00,4.91
Home in Antwerp · ★4.91 · 1 bedroom · 1 bed · 1 bath,13330269,Joelle,t,"Antwerp, Flanders, Belgium",,1,$65.00,4.91
Rental unit in Antwerp · ★4.72 · 1 bedroom · 2 beds · 1 bath,10342058,Sofie & Manu,t,"Antwerp, Flanders, Belgium",,2,$65.00,4.72
Townhouse in Antwerpen · ★5.0 · 3 bedrooms · 4 beds · 2 baths,6602849,Rudina,t,"Antwerpen, Vlaams Gewest, Belgium",,4,$200.00,5.0
Townhouse in Antwerp · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,13733939,An,t,"Antwerp, Flanders, Belgium",,1,$47.00,4.64
Home in Antwerpen · ★4.48 · 3 bedrooms · 5 beds · 2 shared baths,14423888,Terra,t,"Antwerpen, Vlaams Gewest, Belgium",,5,$41.00,4.48
Rental unit in Antwerpen · ★4.49 · 2 bedrooms · 3 beds · 1 bath,17717089,Leonie En Ahmed,f,"Antwerpen, Vlaams Gewest, Belgium",,3,$175.00,4.49
Rental unit in Antwerpen · ★4.33 · 1 bedroom · 1 bed · 1 bath,7386200,Mathieu,f,"Antwerpen, Vlaanderen, Belgium",,1,$163.00,4.33
Condo in Antwerp · ★4.98 · 2 bedrooms · 2 beds · 1 bath,19891615,Bart,t,"Antwerp, Flanders, Belgium",,2,$200.00,4.98
Townhouse in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,19891615,Bart,t,"Antwerp, Flanders, Belgium",,1,$90.00,5.0
Rental unit in Antwerp · ★4.24 · 1 bedroom · 1 bed · 1.5 baths,9438737,Joel,f,"Antwerp, Flanders, Belgium",,1,$60.00,4.24
Home in Antwerp · ★4.69 · 1 bedroom · 1 bed · 1.5 shared baths,21679611,Tom,t,"Antwerp, Flanders, Belgium",,1,$79.00,4.69
Townhouse in Antwerp · ★4.85 · 2 bedrooms · 3 beds · 1.5 baths,22144864,Greet,t,"Antwerp, Flanders, Belgium",,3,$256.00,4.85
Rental unit in Antwerp · ★4.86 · 2 bedrooms · 4 beds · 2 baths,15216532,Pascal,t,"Antwerp, Flanders, Belgium",,4,$161.00,4.86
Rental unit in Antwerpen · ★4.89 · 1 bedroom · 1 bed · 1 bath,1754396,Marleen,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$60.00,4.89
Condo in Antwerp · ★4.73 · 2 bedrooms · 2 beds · 1 shared bath,3093188,Saskia,f,"Antwerp, Flanders, Belgium",,2,$64.00,4.73
Rental unit in Antwerpen · ★New · 1 bedroom · 1 bed · 1 bath,23161267,Siegert,f,,,1,$100.00,
Loft in Antwerp · ★4.78 · Studio · 2 beds · 1.5 baths,13059720,Yara,t,"Antwerp, Flanders, Belgium",,2,$82.00,4.78
Cottage in Antwerpen · ★4.65 · 4 bedrooms · 4 beds · 1 bath,24249803,Michel,f,,,4,$190.00,4.65
Condo in Antwerpen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,24507004,Nele,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$165.00,5.0
Rental unit in Antwerpen · ★4.71 · 1 bedroom · 2 beds · 1 bath,25217689,Katrin,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$174.00,4.71
Rental unit in Antwerpen · ★4.89 · 2 bedrooms · 4 beds · 1 bath,25674863,Sam,t,"Antwerpen, Vlaanderen, Belgium",,4,$83.00,4.89
Rental unit in Antwerpen · ★4.71 · 1 bedroom · 1 bed · 1 bath,25701603,Nadi,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$99.00,4.71
Loft in Antwerpen · ★4.92 · Studio · 1 bed · 1 bath,13357011,Liselotte,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$115.00,4.92
Rental unit in Antwerpen · ★4.86 · 2 bedrooms · 2 beds · 2.5 baths,4492282,Lies,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$171.00,4.86
Loft in Antwerpen · ★4.70 · 1 bedroom · 1 bed · 1.5 baths,12309348,Luc & Kristina,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$60.00,4.7
Condo in Antwerpen · 1 bedroom · 1 bed · 1.5 baths,15066463,Lien,f,,,1,$85.00,4.0
Rental unit in Antwerpen · ★4.94 · 1 bedroom · 4 beds · 1.5 baths,27086764,Nina,t,"Antwerpen, Belgium",,4,$100.00,4.94
Loft in Antwerp · ★4.74 · 4 bedrooms · 5 beds · 2.5 baths,6930093,"Ian, Jande En Marie",f,"Antwerp, Vlaams Gewest, Belgium",,5,$370.00,4.74
Home in Antwerpen · ★4.77 · 2 bedrooms · 2 beds · 2 baths,7553126,Tania,t,"Antwerpen, Vlaanderen, Belgium",,2,$99.00,4.77
Rental unit in Antwerpen · ★4.85 · 1 bedroom · 1 bed · 1 bath,10843073,Charly,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$111.00,4.85
Rental unit in Antwerpen · ★4.82 · 1 bedroom · 1 bed · 1 bath,28902892,AchA,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$99.00,4.82
Rental unit in Antwerpen · ★4.95 · 2 bedrooms · 3 beds · 1.5 baths,28902892,AchA,t,,,3,$136.00,4.95
Home in Antwerpen · ★4.84 · 1 bedroom · 2 beds · 1 private bath,28920566,Jasper,t,"Antwerpen, Vlaams Gewest, Belgium",,2,$100.00,4.84
Rental unit in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1 bath,4715596,Caroline & Klaas,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$62.00,4.79
Home in Antwerpen · ★4.71 · 1 bedroom · 1 bed · 1 bath,29779875,&Quot;La Casa Di Frà,f,"Antwerpen, Vlaams Gewest, Belgium",,1,$70.00,4.71
Rental unit in Antwerpen · ★4.70 · 1 bedroom · 2 beds · 1 bath,30038566,Marleen,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$79.00,4.7
Rental unit in Antwerpen · ★4.73 · 1 bedroom · 1 bed · 1.5 baths,4586965,Mariona,t,"Antwerpen, Vlaams Gewest, Belgium",,1,$128.00,4.73
Loft in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,11857224,Christel,f,"Antwerpen, Vlaams Gewest, Belgium",,1,$137.00,4.79
